,ZipCode,Forecast_Month,Forecast_Rent,Volatility
0,58197,3,2899.863467229341,0.00618559057705801
1,58197,6,2916.611854940117,5.8603695735882494e-06
2,58197,9,2933.360242650892,9.026873243855078e-06
3,58197,12,2950.1086303616685,1.2152821040719543e-05
4,58207,3,1670.3805188804115,0.0007150936871733622
5,58207,6,1679.511037760823,5.249204486734046e-06
6,58207,9,1688.6415566412345,8.087953777202674e-06
7,58207,12,1697.772075521646,1.0892058761703753e-05
8,58226,3,1483.6877382138437,0.005283230855349668
9,58226,6,1502.3754778359894,2.7873237621151717e-05
10,58226,9,1521.0632174581353,4.2647513905370603e-05
11,58226,12,1539.750957080281,5.709381695428044e-05
12,58234,3,2354.0238279216696,0.008643351712840789
13,58234,6,2426.9143231942267,0.00016851451751634077
14,58234,9,2499.8048184591707,0.0002533458213138449
15,58234,12,2572.695313730682,0.0003331444297325032
16,58254,3,1786.7049513847658,0.004663233849993831
17,58254,6,1805.1607940796532,1.874608937764688e-05
18,58254,9,1823.5391768449426,6.457492721145029e-05
19,58254,12,1842.0724794694277,6.412057049819955e-05
20,58257,3,1825.0,0.0
21,58257,6,1825.0,0.0
22,58257,9,1825.0,0.0
23,58257,12,1825.0,0.0
24,58268,3,1707.5498136745605,0.004747929847505053
25,58268,6,1732.6551828325394,3.7980153761354444e-05
26,58268,9,1757.7605519914914,5.799270248691646e-05
27,58268,12,1782.8659211502732,7.740743606718267e-05
28,58273,3,1914.8858522079893,0.008706360742506875
29,58273,6,1914.8858522079897,9.930136612989092e-17
30,58273,9,1900.0425718637568,0.002740576983833859
31,58273,12,1914.885852207991,0.0034814029398596946
32,58291,3,1571.819416791687,0.010449776811429725
33,58291,6,1590.7057925161098,2.536576767360565e-05
34,58291,9,1609.5921682403377,3.883289933761242e-05
35,58291,12,1628.4785439659918,5.196596529259659e-05
36,58359,3,1833.6440479657651,0.007079052187134384
37,58359,6,1856.4238849481103,2.7116193409296333e-05
38,58359,9,1879.2037219112433,4.149619503412785e-05
39,58359,12,1901.9835599926482,5.550828052128564e-05
40,58366,3,1680.5519718719659,0.0081137011520869
41,58366,6,1654.0206101642282,4.3791720130971396e-05
42,58366,9,1627.4892484680872,6.893969032797248e-05
